links,clean_texts
https://www.linkedin.com/jobs/view/3993602436/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=EE%2BivDlDZrh5jmA97e4iWg%3D%3D&trk=d_flagship3_search_srp_jobs,"Kurum ve kuruluşların yapay zeka odaklı teknolojik ihtiyaçlarını tespit ederek mevcuttaki ürün ve hizmetlerle bu ihtiyaçların karşılanmasını sağlayacak ve müşteriyi en doğru çözüme ulaştıracak İş Geliştirme Uzmanı arıyoruz! Aranan Nitelikler: Üniversitelerin ilgili alanlarında Lisans derecesi , (tercihen İşletme, Endüstri Müh, Makine Müh, Elektrik-Elektronik Müh, Mekatronik Müh) Bilgi teknolojileri sektöründe ürün ve iş geliştirme süreçlerinde deneyimli , Yapay zeka ve veri bilimi teknolojilerine ilgili, bu alanda kendini geliştirmiş İleri seviye İngilizce yetkinliği, Tercihen yapay zeka ve veri bilimi alanlarında yüksek lisans ve/veya doktora, Güçlü problem çözme yetenekleri ve analitik düşünme becerisi, Müşteri ilişkileri konusunda yetkin, güçlü bir iletişim beceresi, Yenilikçi, meraklı ve öğrenmeye açık bir yaklaşım sahibi, Seyahat engeli olmayan, sahada aktif çalışmaya istekli, Show more Show less"
https://www.linkedin.com/jobs/view/3995639914/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=aWymddU0xcjU0C2K56RXKA%3D%3D&trk=d_flagship3_search_srp_jobs,"Qualifications: Bachelor’s degree in a relevant field (e.g., Statistics, Engineering, Mathematics, Business) 4 years of proven experience in digital marketing, data analysis and interpretation Familiarity with e-commerce ecosystem and understanding of digital marketing channels (Google, Meta, Tiktok, RTB etc.) Hands on experience on Google measurement tools (GA4 etc.), mobile measurement partners (Adjust and/or Appsflyer) Hands on experience on data visualization tools, particularly Looker Studio Strong knowledge of Excel, gsheet Good communication and presentation skills, with the ability to translate complex data into actionable insights Understanding of big data environment (preferably BigQuery) is a plus Familiarity with machine learning techniques and predictive modeling is a plus Experience with Google Tag Manager is a plus Strong analytical and problem-solving skills Strong command of written and verbal English Job Description: Execute in-depth analysis of digital marketing campaigns, user behavior, and app performance. Work closely with digital marketing team to understand campaign objectives and provide analytics support Execute A/B tests and analyse test results to improve campaign effectiveness and conversion rate Develop dynamic dashboards to track KPIs in order to provide actionable recommendations for optimizing digital marketing efforts and improving overall performance Conduct ad-hoc analysis to support digital marketing team for data-driven decision making Utilize statistical methods and tools to interpret data (patterns, anomalies, opportunities etc.) and generate actionable insights Collaborate with IT and data analytics teams to ensure data accuracy Manage the implementation process of tracking tags for digital marketing tools/channels Create easy to understand presentations to describe analytical findings and its impacts on digital marketing overall performance In our journey which is driven with our goal of becoming the first choice as the trustedretailer for tailored solutions in a tech-driven world, we are growing rapidly with more than 98 stores today in Turkey. With the strength of MediaMarktSaturn Retail Group as the number one consumer electronics retailer in Europe, we bring technology together with our customers and make their lives easier with the services we offer.If you are a person who likes to think, speak with data and take action, it is time to join us! Sustainable growth is possible with equal opportunities and different perspectives. As MediaMarkt Turkey, we take care to avoid any discrimination such as race, religion, gender, sexual orientation, disability status. We think that all candidates who apply to us should have transparent, fair and equal rights. By trying to be a role model in our sector, we believe in the power of diversity and inclusion which help us to grow together. For detailed information regarding protection of your personal data you may access the following link: Kişisel verilerinizin işlenmesine dair ayrıntılı bilgi için aşağıda link içerisinde yer alan aydınlatma bildirimimizi inceleyebilirsiniz; https://www.mediamarkt.com.tr/tr/shop/calisan-adayi-kisisel-verilerin-korunmasi-ve-islenmesi-aydinlatma-metni.html Show more Show less"
https://www.linkedin.com/jobs/view/3984476509/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=dCgUv%2FcohNlmqyM860ZZCw%3D%3D&trk=d_flagship3_search_srp_jobs,"Ümumi məlumat “Kapital Bank” ASC namizədləri “Biznes Analitik” vakansiyasına müraciət etməklə “Agile” komandasına dəvət edir. Öhdəliklər Data əsaslı fəaliyyət strategiyası və qərar qəbuletmə ilə bağlı təkliflər vermək; Data Analitikası sahəsində yeniliklərin izlənilməsini və innovasiyanın tətbiq olunmasını təşkil etmək; Müxtəlif sorğu və rəylərin hazırlanmasında iştirak etmək; Toplanmış məlumatların ümumi və keyfiyyət analizini təşkil edir, aparılmış analizlər əsasında hesabat və təkliflərin hazırlanmasını təşkil etmək; Dövri statistik icmalın hazırlanması, statistika üçün məlumatların toplanması və ümumiləşdirilməsində iştirak etmək; BI (Business Intelligence) texnologiyalarının tətbiq olunmasını, müvafiq sistemlərin qurulmasını təşkil etmək və idarə edilməsində iştirak etmək; Mövcud hesabatların və BI həllərin işləkliyinə nəzarət etmək. Əgər uyğunsuzluq olarsa, operativ olaraq müdaxilə edərək, problemin həllini təmin etmək; Deskriptiv, Diaqnostik hesabatların və təhlillərin hazırlanmasını, qərar qəbuletməyə təsir edəcək hesabat və rəylərin formalaşdırılması; Fəaliyyət istiqaməti üzrə şöbəyə daxil olan müraciətləri araşdırırmaq və cavablandırılmasını təmin etmək; Vəzifəsi üzrə rəhbərlik tərəfindən verilən tapşırıqları yerinə yetirmək. Tələblər Proqrama Kimlər Müraciət Edə Bilər Data sahəsinə marağı olan bakalavr son kurs tələbələri, magistr tələbələri,universiteti yeni bitirən məzunlar; Ölkənin ilk rəqəmsal bankında data sahəsində çalışan peşəkarlarla ünsiyyətdə olmaq və onlardan öyrənmək istəyənlər; Tam iş günü təcrübədə iştirak edə biləcək namizədlər; Motivasiyası yüksək, yeniliklərə açıq və məqsədlərini reallaşdırmaq istəyən gənclər. Show more Show less"
https://www.linkedin.com/jobs/view/3936748171/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=EcZqgV3JF4Bv3GFgOZE8og%3D%3D&trk=d_flagship3_search_srp_jobs,"At Mobven, we are passionate about creating exceptional mobile solutions. Established in 2012, our company has evolved from a startup into an award-winning mobile technology company with offices in Istanbul. Mobven has been awarded as Turkey’s fastest growing top 50 tech companies by Deloitte, 4 years in a row. We continue our operations as a subsidiary of Payten, the payment solutions arm of Asseco, the 6th largest software house in Europe. If you are self-motivated and constantly bear in mind how to add value to a company’s future and its products and services, then, we are looking for individuals like you with the ambition to be game changers in the industry and to create cutting edge mobile solutions for our multinational clients. About the Role: We are seeking a highly skilled and motivated Senior Data Scientist to join our team. This role requires a blend of advanced analytical skills and practical machine learning experience to drive impactful insights and innovations for our clients. Key Responsibilities: • Design, develop, and deploy machine learning models and algorithms. • Collaborate with client teams, and engineering teams to integrate machine learning solutions into production environments. • Analyze and interpret complex data sets to identify trends and patterns. • Perform model validation, tuning, and performance monitoring. • Lead data science projects from concept to deployment. • Mentor junior data scientists and provide technical guidance. Required Skills and Experience: • Advanced degree (Master’s or PhD) in Computer Engineering, Computer Science, Mathematics, Data Science, Machine Learning, Statistics, or related field. • 3-5 years of experience in data science and machine learning roles, with experience in key supervised/unsupervised learning and deep learning techniques (eg, ANN, CNN) Ideally experience in NLP Transformers, and in Transformer architecture Experience in model evaluation and validation techniques, including LIME, SHAP and surrogate models • Strong programming skills in Python, R, or similar languages. • Hands-on experience with machine learning libraries such as TensorFlow, Keras, PyTorch, or Scikit - learn. • Knowledge of SQL and experience with relational databases. • Familiarity with machine learning engineering and deployment practices. • Excellent analytical and problem-solving abilities. • Effective communication skills and ability to work collaboratively. Preferred Skills: • Experience with cloud computing platforms (e.g., AWS, GCP, Azure). • Proficiency in big data technologies (e.g., Hadoop, Spark). • Background in NLP, computer vision, or time series analysis. • Experience with data visualization tools and techniques. What We Offer: A dynamic and innovative working environment, Competitive compensation package, Health insurance, Generous paid time off and flexible work arrangements, Access to cutting-edge tools and technologies, Opportunities for professional growth and development. Show more Show less"
https://www.linkedin.com/jobs/view/3991392171/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=x4pEYpt8EnUf5Q0TfMg%2BIQ%3D%3D&trk=d_flagship3_search_srp_jobs,"About BiTaksi: We are BiTaksi, Turkey’s leading taxi-hailing app. Over the past eleven years, we have grown from a small startup with big dreams to a big startup that touches people’s lives every second, providing them with a safe, easy, and modern transportation solution. This has all been possible due to our creative & analytical thinking to develop marketing strategies with a dedicated team right here in our office. Company Vision: Our vision is to transform the way people move by leveraging cutting-edge technology and creating seamless experiences for both riders and drivers. We aim to be the preferred transportation platform of choice, setting new industry standards and reshaping urban mobility. Why Choose BiTaksi: Impactful Work: By joining BiTaksi, you will have the opportunity to work on projects that have a direct impact on the lives of millions of people. Your contributions will help shape the future of transportation and make a difference in the way people navigate their daily lives. Innovation and Technology: At BiTaksi, we embrace innovation and leverage the latest technology to create user-centric solutions. As a Senior Performance Marketing Specialist / Executive you will be part of a dynamic team that pushes boundaries and explores new possibilities in the transportation industry. To join us as a Senior Performance Marketing Specialist / Executive you’ll need: Bachelor's degree in a related field 4+ years of experience at Performance Marketing, especially in App Marketing area Good knowledge of MMP tools, preferably in Adjust Understanding of marketing in detail: user acquisition, re-engagement, retention, etc Excellent analytical skills and leverage data, metrics, analytics, and consumer behavior trends to drive actionable insights & recommendations Proactive and initiative taker Hunger to learn and relearn Enthusiasm for working in an imperfect dynamic startup environment Experience in the Mobile technology / technology sector would be an advantage Strong written, verbal communication skills & inter-personal skills both in English You will: Define our digital marketing strategy in line with our marketing agenda and growth objectives Experience with launching and scaling app and display marketing across networks such as Google, Meta, TikTok and others Create, manage and deploy performance, display, mobile and social media marketing campaigns and optimizing daily to reach success metrics Overall maintenance of mobile attribution tools such as Adjust, Appflyers etc Ability to organize re-marketing, targeting processes and using necessary tools in line with campaign objectives Design and conduct rigorous A/B experiments to test digital communication assets In-depth understanding of social media platforms, their protocols and analytics Monitoring and reporting weekly & monthly digital communication Collaborate cross-functionally between marketing, engineering, product and data science teams What we offer? Open communication, teamwork and strong company culture of continuous development Private health insurance (family included) Meal card Transportation allowance We care about your wellbeing; free psychological counseling, legal advice, financial advice etc. Team and company activities for motivation Discounted gym membership In BiTaksi we’re always evolving. If you’re interested in challenges to look for new ways to improve BiTaksi growth strategies everyday, join our dynamic team as a Senior Performance Marketing Specialist / Executive . Show more Show less"
https://www.linkedin.com/jobs/view/3992449812/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=n6hsEhrUGBR%2Bybr6kWw4Vw%3D%3D&trk=d_flagship3_search_srp_jobs,"Turkcell Dijital İş Servisleri markasıyla hizmet veren Turkcell Satış ve Dijital İş Servisleri A.Ş., kobilerden büyük holdinglere ve kamu kurumlarına çok geniş bir yelpazede, müşterilerinin dijital dönüşüm ortağı olma hedefiyle kurulmuştur. Ulaşım, finans, sağlık, eğitim, lojistik, üretim, perakende, enerji, turizm gibi birçok sektörde, erişim, veri merkezi, bulut ve siber güvenlik hizmetleri, yönetilen hizmetler gibi klasik telekom ve BT Hizmetleri yanında, sektörel çözümler, yapay zeka, nesnelerin interneti, büyük veri analitiği gibi ileri teknolojiler ile katma değer ve rekabette fark yaratacak çözümleri oluşturarak kurumların teknoloji ihtiyaçlarını uçtan uca adresleyecek yepyeni bir iş modeli ile hizmet vermektedir. Turkcell olarak yeteneklerimize eşsiz insan deneyimi yaşatarak, değer yaratan sürdürülebilir bir organizasyon inşa etmeyi ve işveren markamızı zirveye taşımayı hedefliyoruz. Bu hedef doğrultusunda benimsediğimiz değerlerimizi iş yapış biçimlerimize yansıtıyoruz. Turkcell’de Neye Değer Veriyoruz? İnsan Odaklılık: Eşsiz insan deneyimi oluşturmak amacıyla uygulamalarımızın merkezinde insanı konumluyor, çalışanlarımızın potansiyelini en üst düzeye çıkarmayı ve onların yeteneklerini geliştirmeyi hedefliyoruz. Yenilik: İnsanların hayatında fark yaratan yenilikçi çözümler üretmek, fikir ve teknolojileri keşfetmek için tutkulu bir şekilde çalışıyoruz. 🚀 Mükemmellik: Dahil olduğumuz ve temas ettiğimiz her noktada mükemmeliyeti hedefliyor, kendimize yüksek standartlar belirliyor, olağanüstü sonuçlar elde ediyoruz. 🎯👌🏼 İş Birliği: Başarının anahtarı olarak birlikte çalışmayı, saygı ve şeffaflık kültürünü teşvik ediyoruz. 👥🔗🧩 Müşteri Odaklılık: Müşterilerimizin ihtiyaçlarını merkeze koyarak olağanüstü müşteri deneyimleri sunmayı hedefliyoruz. 🤝 🖇️ Sürdürülebilirlik: Müşterilerimiz, çalışanlarımız ve dünyamız için sürdürülebilir bir gelecek amacıyla çalışıyoruz. 🌍 Ne Bekliyoruz? Üniversitelerin mühendislik(Elektrik-Elektronik, Kontrol, Bilgisayar) fakültelerinden mezun olmanı, En az 6 yıl çalışma deneyimine sahip olmanı, Endüstriyel Üretim sektöründe iş geliştirme, çözüm yönetimi, veri analizi alanında en az 5 yıl tecrübeli olmanı, Endüstriyel IoT, veri analitiği ile iş süreçlerinin geliştirilip fayda analizine konusunda çalışmış ve projelerde aktif görev almış olmanı, IoT, Veri Analitiği, Yapay Zeka, AR/VR gibi yeni nesil teknolojilere hakim olmanı, Kişisel gelişimine önem veren, sürekli öğrenme isteği yüksek, İletişim becerileri kuvvetli, sorumluluk sahibi ve sonuç odaklı, Sunum ve raporlama becerisi yüksek, Analitik düşünme ve problem çözme yeteneği gelişmiş, Çok iyi derecede yazılı ve sözlü İngilizce bilgisine sahip. Turkcell’de Emerging Technologies Solutions Manager Rolü Ne Yapar? Turkcell kurumsal müşterileri için üretim sektörünün iş ihtiyaçlarına yönelik IoT, Veri Analitiği ve Yapay Zeka çözüm ve projelerinin geliştirilmesi konusunda yön verir, Çözümün oluşturulması için müşterileri ziyaretleri gerçekleştirerek detaylı ihtiyaç analizleri yapar ve bu sayede yeni fırsatlar yaratılmasına katkı sağlar, Kurumsal Satış ekiplerinden bağımsız olarak da müşterilere giderek fırsat oluşturucu kimliği ile sales-orientated kişiliğe sahip olması, Müşterilerde ilgili teknolojilerle ihtiyaçları ortaya çıkarabilecek ve doğru çözümler ile teknik mimariyi oluşturabilmesi, Satış ekipleri ile birlikte müşteri ihtiyaçlarını tespit etmek, çözümün oluşturulması için müşterileri ziyaretleri gerçekleştirerek detaylı ihtiyaç analizleri yapmak ve bu sayede yeni fırsatlar yaratılmasına yön verir, Sektörlerdeki tüm pazar dinamiklerini ve teknoloji trendlerini takip ederek potansiyel sektörel dikey çözümleri belirlemek ve iş ortakları ile süreçleri yöneterek hayata geçirmesi, Daha önceden satışı gerçekleştirilmiş proje örneklerinin çoklanması için satış ekipleri ile birlikte gerekli planlamaları yapmak, saha ekipleri ile birlikte uygulaması, Satış öncesi aktivitelerde müşteri verileri ile ilk izlemeleri yapıp müşterilere değer katacak katma değerin tespiti için verileri analiz eder. Yan Haklar ve Faydalar Ekibimizin bir üyesi olarak, rekabetçi bir ücret, esnek çalışma düzenlemeleri, kariyer gelişimi ve ilerleme fırsatları gibi bir dizi yan hak ve fayda ile buluşma fırsatı yakalayacaksın. Detaylara "" https://bit.ly/TurkcellTKusagi ’’ üzerinden ulaşabilirsin. 🎁▶️ Turkcell bir eşit fırsat işverenidir ve ırka, renge, dine, cinsiyete, ulusal kökene, etnik kökene, yaşa, fiziksel görünüşe veya duruma, medeni durumuna, askerlik durumuna bakılmaksızın, tüm nitelikli başvuru sahiplerini istihdam için değerlendirmeye alır. Show more Show less"
https://www.linkedin.com/jobs/view/3989623373/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=V1AXebuqe6gHeHFLNIh5LQ%3D%3D&trk=d_flagship3_search_srp_jobs,"Gürmen Group CRM departmanına bağlı pazarlama faaliyetlerine yön veren analizler, istatistiksel modeller üzerinde çalışacak Müşteri Analitiği Uzmanı/Kıdemli Uzmanı arıyoruz. Nitelikler: · Mühendislik, Matematik, İstatistik veya ilgili alanlarda lisans ve/veya yüksek lisans derecesine sahip, · SAS ya da IBM Modeller’e gibi paket programları konusunda tercihen tecrübeli, · İyi seviyede SQL bilgisine sahip, · POWER BI gibi BI tool’larında tecrübe sahibi, · R/Python gibi yazılım dillerinde deneyimli, · Güçlü problem çözme, analitik düşünme yetkinliği ve veriden hikaye yaratabilen, · Güncel veri bilimi platformlarını takip ederek anlamlı çıkarımlar ve yeni fikirler üretebilen, · Tercihen perakende sektöründe en az 2-3 yıl tecrübeli, · İyi derecede İngilizce bilgisi. İş Tanımı: · Pazarlama ekiplerini desteklemek üzere müşteri davranışlarını belirlemek, ayrıştırmak ve tahminlemek üzere modeller geliştirmek, · Churn, propencity, segmentasyon modelleri oluşturmak, · Müşteri ve ürün yaşam döngüsü boyunca analizler yaparak ilgili ekiplere yön göstermek, · Model ve analiz sonuçlarının aksiyona dönüşmesi için kampanya/CRM sistemleri ile entegrasyonu/koordinasyonu sağlamak, · BI tool’larından alınamayan kompleks rapor talepleri ile ilgili destek olmak, Show more Show less"
https://www.linkedin.com/jobs/view/3980170723/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=7bzSDWA310BXVvuMSi5sOw%3D%3D&trk=d_flagship3_search_srp_jobs,"About ING Think Forward! Our purpose is to empower people to stay a step ahead in life and in business. We are an industry recognized strong brand with positive recognition from customers in many countries, a strong financial position, Omni-channel distribution strategy and international network. If you want to work at a place where we believe that you can make a difference by using the latest Analytics techniques to generate data-driven approaches and conversational products and solve real business challenges, please read on. ING Analytics ING Analytics is a new unit responsible for realizing this vision for ING, differentiating ING as a leader in data-driven organization, within the banking sector and beyond. The team consists of a number of Global Analytics Centre of Excellences around the bank’s key capabilities (such as Pricing, Risk Management, Financial Crime, Customer Intelligence and People Analytics.) as well as strong coordination areas around data management, technology, customer journey, UX, as well as external partnerships. COO Analytics- Customer Dialogue Analytics You will be part of the COO Analytics Tribe, which delivers generative AI , AI and advanced analytics capabilities to all ING countries. Specifically, you will help creating innovative-scalable-data driven solutions in the space of Customer Dialogue Analytics. You proactively work with teams to implement these solutions across the organization. You will work collaboratively with an extended group of stakeholders, including global and local Retail Contact Center teams. Your mission will be to ensure the improvement of our products with a team and supporting all ING countries in reaching their targets by providing smart advanced analytics solutions, to strengthen ING leadership in digitalization & support our 40 million customers. We work in a fun and creative environment, and we’re dedicated to bringing out the best in both our relations and our projects, ranging from enhancing our virtual assistants in production via innovative NLP techniques sush as Generative AI and Large Language Models, to building speech analytics use cases across all the countries ING operates in. The opportunity As a Natural Language Processing (NLP) Data Scientist, you will be joining the global ING Analytics organization and will partner with Machine Learning (ML) Engineers and Customer Journey Experts to design and implement leading-edge conversational AI products, such as virtual assistants and Retrieval Augmented Generation systems using LLMs. As an NLP data scientist, you understand business needs, perform data preprocessing and analysis, and build machine learning models and/or design and implement NLP models using managed LLM services for speech and text data to improve our conversational platform and ING contact center agents’ efficiencies globally. A day in the life of an NLP Data Scientist After your morning coffee, you stand up with data engineers to understand the best scalable way to get models to run in production, leading the way in how to approach a modeling problem and to turn data into business value. You talk to the business to convince them that your solution has value and you incorporate their feedback into your modeling pipeline. After a lunch break with colleagues, you think of a new technology you’d like to try out. You start investigating and write it up for the next experimentation day or demo. At the end of the afternoon, you finalize some comments other colleagues from the ING Analytics Community had on your latest blog post or start building your presentation for the next conference you will be presenting at. As a Data Scientist working for ING Global Analytics, you’ll never get bored with many experienced and skilled colleagues around you, the freedom to innovate, and to not only use open source and cloud managed service tooling, but also contribute and teach about them. You Will Be Responsible For Design and implementation of solutions using Generative AI and LLM technologies Developing production level NLP models Working with ML Engineers to productionize your developed NLP models Using the cutting-edge NLP and conversational AI frameworks and technologies such as Large Language Models and Generative AI Following best practices in developing ML code and ML software tests Making design and technical decisions for conversational systems projects at ING Analytics. Supporting local teams in several countries and their projects. Participating in design, analysis, and interpretation of business hypotheses and exploring datasets. Recommending ideas to the business based on data. Assisting your model users to understand the data science principles and when needed explaining the model behavior and possible corrective actions. Contributing to strengthening the data analytics capability within the team. About you Always thinking a step ahead and never satisfied with the status quo Enthusiasm for helping others to be successful and a talent for taking it on and making it happen You have a learning attitude. Not only to master new technologies and programming languages, but also on the interpersonal level. You are proven to be able to ask and give feedback You embrace challenges in a fast-changing and complex environment You are a naturally collaborative person who listens and invests in others to achieve common goals You have a Pro-active and can-do attitude (self-steering) You take pride in your code and take responsibility for keeping it running in production You combine both thinking of the future and a hands-on, right now attitude You enjoy working in a team, with highly skilled people, having a creative atmosphere where trying out new things is encouraged. How to succeed Degree in Computer Science, and preferably in Natural Language Processing, Information Retrieval, or Machine Learning. A minimum of 2 years experience in building Natural Language Processing or Information Retrieval pipelines and models Experience with operationalisation of LLMs or Generative AI applications You have an in-depth understanding of algorithms like Conditional Random Fields, Transformers, Recurrent Neural Networks, and Convolutional Neural Network Strong programming skills in Python, experience in delivering production grade code, and reasonable SQL understanding Can build an “end-to-end ML software product” which has NLP/IR component Experience with Deep Learning frameworks like Tensorflow and PyTorch You have excellent oral and written communication skills at the technical and business level Fluent in written and spoken English. Familiarity with Agile Scrum way of working Nice To Have Experience with Google Cloud Platform Experience with applying NLP on banking and/or contact center domains Written knowledge of Dutch, Spanish, French, or Italian Knowledge of DevOps practices including Git and CI/CD Experience with CI/CD for Machine Learning pipeline (CD4ML). What do we offer At ING Hubs Turkiye we want your work to fulfill you in every way, and that is why we take care of even the smallest detail. Check out what is waiting for you; At our organization, you first be yourself, then you are ING’er, therefore;· 14 days of welcome leave days even in your first year! Don’t postpone your dreams!· We provide self-driven career opportunities where you have never· Personal growth & challenging work with endless opportunities to realize your ambitions· An informal, dynamic environment with innovative colleagues supporting your endeavors· Share your innovation ideas while discovering PACE methodology· Take a part in global projects and/or career opportunities· Have fun with various communication activities & celebrations· We care your health; comprehensive health insurance package for you and your beloved ones (spouse/children)· Private Pension plan for your future dreams If you want to do your thing and explore the life while working don’t miss this opportunity! Show more Show less"
https://www.linkedin.com/jobs/view/3970780135/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=WsiRQT9gmRe%2BGtY0hVSW6Q%3D%3D&trk=d_flagship3_search_srp_jobs,"We are looking for Snowflake Data Engineer join our fast-paced and self-accountable team that delivers enterprise-level products for local and global markets. You will work with IT consultants, delivery managers, DevOps engineers, QA teams, BE, FE, and mobile developers to deliver best-in-class digital products. Let’s develop your future together, where you can code, grow, and inspire others. What will you do? In this role, you will be at the forefront of our data migration initiatives, playing a critical part in transforming and modernizing data infrastructure. Your primary responsibility will be migrating on-premises solutions to cloud-based solutions. This role demands a blend of technical expertise, effective communication, and meticulous data validation to ensure seamless and successful migrations. As a Data Engineer, you will collaborate closely with business owners, understanding their requirements and keeping them informed about the migration progress. You will also be responsible for validating the migrated data, ensuring that it meets our high standards of accuracy and completeness. This involves performing data quality checks and resolving any issues that emerge during the migration process. Your analytical skills and attention to detail will be essential in maintaining the integrity of our data. This role offers an exciting opportunity to work on cutting-edge data migration projects within a dynamic and collaborative environment. What are we looking for? 3 years relevant experience working with data warehousing and/or working with large data sets Expert in implementing ETL/DWH solutions on Snowflake Should have a minimum 3+ years of relevant experience as a developer in implementation DWH & Data Integration projects on AWS and Snowflake. Must have excellent hands-on experience with Snowflake utilities, SnowSQL, SnowPipe and basic scripting using Python . Should be able to understand the Db concepts and difference between MPP and SMP system. Should be able to create tables, roles, Virtual Warehouse, Data sharing, clones etc. Should be able to write complex sql and stored procedure, design and implement snowflake roles and optimize SQL statement. Understanding and experience in ETL Tools will be a big plus Able to think analytically, use a systematic and logical approach to analyze data, problems, and situations. Should be able to drive the day-to-day tasks in alignment with the project plan and collaborate with client to accomplish milestones as per plan. Proficient in spoken and written English Must have technologies: Python Snowflake PySpark/Hadoop SQL/HQL DBT GIT Nice to have technologies: Data Vault 2.0 Apache Airflow Scrum/Agile Our commitment to you · A well-established, next-generation organization · Working hubs spread out in different locations in Turkey · An agile & lean organization and optimized work processes · Living locally (100% digital) and working globally in international projects · Competitive salary, private health insurance, and comprehensive benefits · A bonus system based on company performance and individual contributions · Graduate school tuition support at the master’s or doctorate level (please ask for details) · Supported personal development and a diverse culture where you can thrive, learn, and contribute to your fullest potential · Life-long learning with unlimited Udemy access · Social clubs, team activities, and regular company-wide events · Volunteering opportunities (when you join the adesso “Good 4 Future” community) About adesso Turkey adesso Turkey empowers enterprises through custom software development and IT consultancy. We deliver the finest-caliber digital solutions — transforming businesses, people, and technology. Our group headquarters is based in Dortmund, Germany, and we have over 10.000 colleagues working at 62 different sites around the globe. Check out www.adesso.com.tr to find out more. Kişisel verileriniz işe alım sürecinin yürütülebilmesi amacıyla veri sorumlusu sıfatıyla şirketimiz Adesso Turkey Bilgi Teknolojileri LTD. ŞTİ. tarafından işlenecektir. Kişisel verilerinizin işlenmesi ve haklarınızla ilgili detaylı bilgiye https://www.adesso.com.tr/adesso-com-tr/download/politika-metni/adesso-tr-kvkk.pdf bağlantısı üzerinden ulaşabilirsiniz. Show more Show less"
https://www.linkedin.com/jobs/view/4001437960/?alternateChannel=search&refId=yiMf4Z%2F05rMOuwR%2F2dW%2Fgw%3D%3D&trackingId=jgrgpbjmOXFrGFR74TVibA%3D%3D&trk=d_flagship3_search_srp_jobs,"Job Description Major accountabilities: Validation Expert -Support Product Steward in maintaining the process control strategy. Translate applicable process parameters and the process control strategy into a focused validation plan for process validation. Provide technical expertise and facilitate establishment of Quality Risk Assessment (as needed). Support site validation planning by writing and maintaining master plans for processes, cleaning, packaging processes and ongoing verification for processes and cleaning (as applicable). Support process validation lifecycle activities by ensuring a state of control is maintained through ongoing process verification (OPV). Ensure that appropriate variables are identified for on-going monitoring as a contributor to quality risk management activities. Work in close collaboration with development organization (or sending site) for technical transfers and new product launches to ensure that knowledge is transferred, control strategies are appropriate, risks are analyzed and controlled and to ensure that commercial processes are validation readyScientist MSAndT -Comply with applicable GxP regulations, SOPs, HSE, ISEC And other Novartis Guidelines in the laboratory and, -Maintain up-to-date documentation of laboratory work carried out including documentation storage and archiving. Contribute to and maintain lab instructions, SOPs, templates. Support, qualification and calibration of lab / pilot equipment with accompanying documentation, schedule and perform routine maintenance. Contribute to the evaluation of new equipment. Design, execute and document experiments (formulation / analytical tests etc.) for products assigned in the context of process transfer, process improvement and process validation. Prepare and review appropriate GxP documentation including change requests. Participate in Tech Transfer activities from laboratory to industrial scale, support validation activities. Identify improvement options of current processes, propose business cases. Reporting of technical complaints / adverse events / special case scenarios related to Novartis products within 24 hours of receipt -Distribution of marketing samples (where applicable) Key Performance Indicators Meet established validation milestones according to approved validation plans. Audit and inspection outcomes as a measure of validation compliance with global regulatory expectations. Timing and quality of technical reports. Timely and successful implementation of transfer activities (e.g. lab-to-lab transfer in launches). Minimum Requirements Work Experience: Fix-its/Turnarounds. Project Management. Collaborating across boundaries. Operations Management and Execution. Skills Assembly Language. Change Control. Chemical Engineering. Chemistry. Continual Improvement Process. Cost Reduction. Data Analytics. Electronic Components. General Hse Knowledge . Including Gdp. Knowledge Of Capa. Knowledge Of Gmp. Lean Manufacturing. Manufacturing (Production). Manufacturing Process. Pharmaceutics. Process and Cleaning Validation. Process Control. Process Engineering. Risk Management. Root Cause Analysis (Rca). Scheduler. Six Sigma. Sop (Standard Operating Procedure). Languages English. Show more Show less"
